Timestamp,Thumb Flex,Pointer Flex,Middle Flex,Ring Flex,Pinky Flex,Thumb Acc. X,Thumb Acc. Y,Thumb Acc. Z,Thumb Gyro X,Thumb Gyro Y,Thumb Gyro Z,Pointer Acc. X,Pointer Acc. Y,Pointer Acc. Z,Pointer Gyro X,Pointer Gyro Y,Pointer Gyro Z,Middle Acc. X,Middle Acc. Y,Middle Acc. Z,Middle Gyro X,Middle Gyro Y,Middle Gyro Z,Ring Acc. X,Ring Acc. Y,Ring Acc. Z,Ring Gyro X,Ring Gyro Y,Ring Gyro Z,Pinky Acc. X,Pinky Acc. Y,Pinky Acc. Z,Pinky Gyro X,Pinky Gyro Y,Pinky Gyro Z,Wrist Gyro X,Wrist Gyro Y,Wrist Gyro Z,Wrist Acc. X,Wrist Acc. Y,Wrist Acc. Z,Hand
0.827,0,255,255,255,255,-7.88,0.80,6.03,0.00,0.00,-0.00,-8.82,-2.94,3.58,-0.03,-0.01,-0.02,-8.23,-2.19,5.40,0.01,0.02,-0.01,-5.25,-5.35,6.43,0.01,0.00,0.00,-2.09,-3.50,8.93,-0.01,-0.01,0.00,-0.52,0.08,0.86,-0.12,0.06,-0.18,L
0.874,255,255,255,255,255,-7.83,0.85,6.04,-0.00,0.01,0.00,-8.80,-2.87,3.66,-0.03,-0.00,-0.03,-8.23,-2.18,5.45,0.01,0.02,-0.01,-5.36,-5.31,6.44,0.00,0.00,0.01,-2.10,-3.52,8.94,-0.02,-0.01,0.01,-0.52,0.08,0.86,0.00,0.00,0.06,L
0.928,255,255,255,255,255,-7.90,0.80,6.02,-0.00,0.01,0.00,-8.90,-2.90,3.56,-0.03,0.00,-0.02,-8.27,-2.17,5.40,0.01,0.02,-0.01,-5.37,-5.36,6.47,0.00,-0.00,0.01,-2.10,-3.53,8.92,-0.04,-0.01,0.00,-0.52,0.08,0.86,-0.31,0.24,0.00,L
0.98,255,255,255,255,255,-7.88,0.87,5.99,-0.01,0.01,0.00,-8.87,-2.94,3.56,-0.03,-0.01,-0.02,-8.21,-2.16,5.41,0.01,0.02,-0.01,-5.36,-5.29,6.43,0.00,-0.00,0.01,-2.15,-3.47,8.94,-0.02,-0.01,0.01,-0.52,0.08,0.86,-0.18,0.24,0.00,L
1.027,255,255,255,255,255,-7.91,0.83,6.04,-0.01,0.01,0.00,-8.87,-2.90,3.62,-0.03,-0.00,-0.02,-8.18,-2.19,5.43,0.00,0.01,-0.01,-5.31,-5.27,6.47,-0.00,0.00,0.01,-2.10,-3.51,8.93,-0.01,-0.01,0.01,-0.52,0.09,0.86,-0.55,0.06,0.37,L
1.081,255,255,255,255,255,-7.93,0.81,6.04,-0.02,0.01,-0.01,-8.84,-2.94,3.62,-0.03,-0.01,-0.02,-8.18,-2.16,5.47,0.01,0.01,-0.01,-5.31,-5.31,6.50,0.00,0.00,0.01,-2.09,-3.52,8.97,-0.02,-0.00,0.01,-0.52,0.08,0.86,-0.06,0.12,0.18,L
1.127,0,255,255,255,255,-7.90,0.74,6.01,-0.01,0.00,-0.01,-8.73,-2.94,3.58,-0.03,-0.00,-0.02,-8.14,-2.19,5.39,0.01,0.02,-0.01,-5.35,-5.30,6.43,0.01,-0.00,0.01,-2.13,-3.50,9.01,-0.00,-0.01,0.00,-0.52,0.08,0.86,-0.24,0.24,-0.06,L
1.178,255,255,255,255,255,-7.78,0.77,6.08,-0.01,0.00,0.00,-8.88,-2.96,3.63,-0.03,-0.00,-0.02,-8.22,-2.20,5.43,0.01,0.02,-0.01,-5.37,-5.31,6.42,-0.01,0.01,0.00,-2.13,-3.49,8.97,-0.02,-0.00,0.01,-0.52,0.08,0.86,-0.06,0.06,0.31,L
1.23,255,255,255,255,255,-7.92,0.83,6.07,-0.01,0.00,-0.00,-8.83,-2.86,3.56,-0.03,-0.00,-0.02,-8.22,-2.22,5.42,0.01,0.02,-0.00,-5.45,-5.30,6.44,0.01,-0.01,0.01,-2.17,-3.48,8.91,-0.01,-0.01,0.01,-0.52,0.08,0.86,-0.43,0.18,0.00,L
1.282,255,255,255,0,255,-7.88,0.83,6.00,-0.00,0.01,0.00,-8.90,-2.97,3.61,-0.03,0.00,-0.02,-8.26,-2.24,5.40,0.01,0.02,-0.01,-5.36,-5.33,6.45,0.00,0.00,0.01,-2.06,-3.44,8.96,-0.03,-0.01,0.01,-0.52,0.08,0.86,-0.24,0.06,0.06,L
1.331,255,255,255,255,255,-7.84,0.84,6.03,-0.01,0.00,-0.00,-8.82,-2.89,3.58,-0.03,-0.01,-0.02,-8.21,-2.20,5.40,0.01,0.01,-0.01,-5.32,-5.37,6.41,-0.00,-0.00,0.00,-2.14,-3.47,8.93,-0.01,0.00,0.00,-0.52,0.09,0.86,0.06,0.31,0.43,L
1.383,255,255,255,255,255,-7.84,0.82,6.08,-0.01,0.01,0.00,-8.90,-2.95,3.68,-0.03,0.00,-0.02,-8.23,-2.25,5.47,0.01,0.02,-0.01,-5.32,-5.28,6.40,0.01,-0.00,0.00,-2.12,-3.49,8.95,-0.01,-0.01,0.00,-0.52,0.08,0.86,-0.24,0.12,0.12,L
