episode_id, timestamp, wx, wy, wz, marker
1,25.102,0.012672429770580041,-0.00046705461034104225,0.0008575306572312437,start
1,25.203,0.012683132404362165,-0.00021354482874558854,0.0010120643554509113,
1,25.305,0.012379168741729014,7.48603197663825e-05,0.001264721118950385,
1,25.406,0.011662962847169963,0.0005377375083972461,0.0016932103932227743,
1,25.507,0.010585670886561703,0.0011173905836212264,0.0021790168405390444,
1,25.607,0.009342307163940125,0.0013993881206804328,0.002445234301578682,
1,25.709,0.00820448344727881,0.001208444550083361,0.0023774766397219632,
1,25.809,0.007355446010335608,0.0010099353139837427,0.0020589042242168255,
1,25.911,0.006609104247744697,0.0017654218581019732,0.0015419696520929148,
1,26.011,0.005581978541053815,0.003948366348328707,0.0008341860934749731,
1,26.112,0.003857893523843136,0.009265507131654032,-0.0004754369589604089,
1,26.215,0.002189855987660951,0.020080943138625452,-0.0025180160439963835,
1,26.315,0.0012701232291588071,0.03582525295749131,-0.004354829711228342,
1,26.416,-0.00018942285680956445,0.05558655982447505,-0.005228602144607791,
1,26.516,-0.0016255536453395687,0.07631564847605848,-0.004962361535014616,
1,26.618,-0.0014135423406261393,0.09174135762706609,-0.0035972816889526388,
1,26.718,-0.0002246179253347272,0.09880049887683195,-0.0011884545057038636,
1,26.819,0.0009380126435087736,0.09956210198958335,0.0020362774383421932,
1,26.92,0.0025021419213772304,0.09761515490756068,0.00588977896185483,
1,27.021,0.004390907563185921,0.09474996440616008,0.010930602767455028,
1,27.123,0.004026215725209514,0.09544134568735772,0.017824694762393872,
1,27.224,-0.0020307919938939733,0.10614677207485064,0.026846775719870174,
1,27.325,-0.014522354425082453,0.1282333639028212,0.03706269362064764,
1,27.426,-0.029625477511680667,0.15851596020724082,0.04617554327270848,
1,27.526,-0.04326588338458435,0.1936098240233477,0.05459898627080739,
1,27.627,-0.05497754854857594,0.23331314345454018,0.06618345253794106,
1,27.728,-0.06724894215053763,0.27834600517369584,0.08329170404260063,
1,27.829,-0.08207974947497607,0.32335108655759487,0.10513409127982955,
1,27.93,-0.09757444834734035,0.36510850991340443,0.12896610128482758,
1,28.031,-0.11109697866844126,0.41283096778459294,0.1536178177883923,
1,28.132,-0.12062089596302092,0.4750709836373997,0.18021494886184122,
1,28.234,-0.12332752489535026,0.5463924904888092,0.20634726516992802,
1,28.334,-0.11746603088534936,0.6111139736703162,0.22665758362416172,
1,28.435,-0.10448411744905657,0.6539772564200567,0.23854230954407085,
1,28.536,-0.08861984727793071,0.6689398817652935,0.2413309596823632,
1,28.638,-0.07280182684225314,0.6692755189611083,0.23425514923300375,
1,28.739,-0.057152002734841466,0.6715635327895384,0.2180842176354535,
1,28.839,-0.04299694887148931,0.661487943177231,0.19584039647488138,
1,28.94,-0.03442537518555511,0.6155601500796029,0.1703354278106775,
1,29.042,-0.033267531350477476,0.5436295762477569,0.14407976749170087,
1,29.142,-0.03836660199500258,0.469808896983493,0.12107476957650594,
1,29.243,-0.04980649623491002,0.3993182038627578,0.10283689975788698,
1,29.347,-0.06801145634116774,0.3200883900215173,0.08080018102942654,
1,29.445,-0.0918092709886093,0.2153224584593775,0.044514667530414484,
1,29.547,-0.11475505529622056,0.0872317795000525,-0.005351824205994358,
1,29.647,-0.12568226647852887,-0.03806220016391583,-0.0628529036307447,
1,29.748,-0.11908173960962357,-0.13895908230021525,-0.12247141130153211,
1,29.849,-0.09447567518773668,-0.21068790534612736,-0.17985735501946312,
1,29.95,-0.0510131244883627,-0.25925146171017394,-0.23000264754807817,
1,30.051,0.00545761264573719,-0.29494190517433927,-0.26608478160101284,
1,30.152,0.06121997172768413,-0.3256501463492979,-0.2847947800936506,
1,30.254,0.10830486536721855,-0.3520211139177908,-0.2900468853863865,
1,30.354,0.14775250244016966,-0.373621585975932,-0.28953722119289327,
1,30.456,0.17915403925491932,-0.39462298731650597,-0.28661402418980453,
1,30.557,0.19899934768474417,-0.41579989712302257,-0.2806706981843777,
1,30.658,0.20637215768419642,-0.43198810278587707,-0.27179216295826236,
1,30.759,0.20624354813395965,-0.4433328303277591,-0.261208073351836,
1,30.859,0.20828958826250954,-0.4576527155222511,-0.25031728662956126,
1,30.961,0.21802958236718117,-0.4780582736768667,-0.238243428109802,
1,31.062,0.2314063925840467,-0.5021192061990184,-0.22402523939205873,
1,31.163,0.24069212669773563,-0.5261219227350035,-0.2080772534839703,
1,31.265,0.24034077482028146,-0.5448431537571921,-0.1896931412577566,
1,31.364,0.2312255079706713,-0.5568083836729975,-0.16946736557773548,
1,31.465,0.21688174649132957,-0.5666656681049218,-0.1493417323593393,
1,31.566,0.1966179397002083,-0.5741022371971086,-0.1286958164962999,
1,31.667,0.17091129972489486,-0.5708957511486017,-0.10520357629930749,
1,31.769,0.14251361342485874,-0.5632590906511946,-0.07789979916767013,
1,31.87,0.1114605338636127,-0.5700163092305546,-0.04687824266447486,
1,31.971,0.07873835875011462,-0.5892057962511833,-0.01391029947736423,
1,32.072,0.04701706409863312,-0.6032950437310167,0.01716329837931495,
1,32.174,0.015492519004536036,-0.6041237447262482,0.04328486142102679,
1,32.274,-0.019381292042007656,-0.5893883103811299,0.06347301451346656,
1,32.375,-0.060811839941366616,-0.5662436205036586,0.07977627353202711,
1,32.476,-0.10695399989247364,-0.5387937888485621,0.09330177341169665,
1,32.577,-0.1514297416236823,-0.495831263068847,0.10051007775806159,
1,32.677,-0.1899563903614681,-0.4317156985912908,0.09870275510453273,
1,32.778,-0.22030721979275758,-0.34778178210944083,0.08888891372135649,
1,32.88,-0.24239792831730014,-0.24397487492236178,0.0730810110790917,
1,32.98,-0.2591514507214628,-0.12360900483380624,0.05465314386835446,
1,33.081,-0.2734915922774225,-0.0021417015343116724,0.03823010889853517,
1,33.183,-0.28641482141958147,0.10391917554143015,0.02561097675046863,
1,33.284,-0.2932164404944606,0.1904431924302199,0.014818805341431653,
1,33.384,-0.2864530469758971,0.2621063049996648,0.003134976167650496,
1,33.485,-0.2677719498215359,0.325733684246953,-0.010001319867164266,
1,33.586,-0.2430147312856637,0.3857488117078776,-0.02523968103832784,
1,33.687,-0.21350318670287655,0.44200501398538444,-0.04327652872163161,
1,33.789,-0.17952408191886304,0.4862416055129413,-0.062258618271431594,
1,33.889,-0.1412136250380099,0.5100636231459711,-0.08049029318164945,
1,33.991,-0.10238965208863336,0.5069648134318686,-0.09636947074969784,
1,34.092,-0.06806574075188997,0.47138074252009876,-0.10904011098392467,
1,34.193,-0.039918101185685485,0.3947775500520819,-0.1168369024842609,
1,34.293,-0.020348320498414934,0.2716192498335214,-0.11598121880853939,
1,34.395,-0.0067654563872758455,0.12853855481941637,-0.10866353851177976,
1,34.496,0.007256510551056669,-0.004829391936739704,-0.09907220766267825,
1,34.596,0.025014971172649003,-0.11964875823067045,-0.08697046390890496,
1,34.697,0.050182307226418005,-0.2077432982327458,-0.07024892105146636,
1,34.798,0.08327778195739052,-0.2699103486165192,-0.04976958515612883,
1,34.899,0.11672772830574336,-0.3089544400049768,-0.03203757783027704,
1,35.0,0.14277552152755435,-0.31747287683743847,-0.02083251118766592,
1,35.101,0.15581776122160382,-0.2922763322707879,-0.01454189457083252,
